Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Indian National Congress - INC,South Goa(2),CAPTAIN  VIRIATO FERNANDES,217836,13535
Indian National Congress - INC,Banaskantha(2),GENIBEN NAGAJI THAKOR,671883,30406
Indian National Congress - INC,AMBALA(1),VARUN CHAUDHRY,663657,49036
Indian National Congress - INC,SIRSA(3),SELJA,733823,268497
Indian National Congress - INC,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381
Indian National Congress - INC,SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816
Indian National Congress - INC,ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298
Indian National Congress - INC,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834
Indian National Congress - INC,Gulbarga(5),RADHAKRISHNA,652321,27205
Indian National Congress - INC,Raichur(6),G. KUMAR NAIK.,670966,79781
Indian National Congress - INC,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875
Indian National Congress - INC,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357
Indian National Congress - INC,Bellary(9),E. TUKARAM,730845,98992
Indian National Congress - INC,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094
Indian National Congress - INC,Hassan(16),SHREYAS. M. PATEL,672988,42649
Indian National Congress - INC,Chamarajanagar(22),SUNIL BOSE,751671,188706
Indian National Congress - INC,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649
Indian National Congress - INC,Kannur(2),K. SUDHAKARAN,518524,108982
Indian National Congress - INC,Vadakara(3),SHAFI PARAMBIL,557528,114506
Indian National Congress - INC,Wayanad(4),RAHUL GANDHI,647445,364422
Indian National Congress - INC,Kozhikode(5),M. K. RAGHAVAN,520421,146176
Indian National Congress - INC,Palakkad(8),V K SREEKANDAN,421169,75283
Indian National Congress - INC,Chalakudy(11),BENNY BEHANAN,394171,63754
Indian National Congress - INC,Ernakulam(12),HIBI EDEN,482317,250385
Indian National Congress - INC,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727
Indian National Congress - INC,Alappuzha(15),K. C VENUGOPAL,404560,63513
Indian National Congress - INC,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868
Indian National Congress - INC,Pathanamthitta(17),ANTO ANTONY,367623,66119
Indian National Congress - INC,Attingal(19),ADV ADOOR PRAKASH,328051,684
